"Title ID","Full Description","Code","Priority","Workload","Risk","Status"
"1.","ALMACENAMIENTO DE DATOS E INFORMACION DEL CLIENTE:","REQ_0001","Undefined","0","Undefined","Draft"
"1.1","Cliente: Se debe almacenar la siguiente información sobre el cliente: nombre, email, cumpleaños, ciudad y país","REQ_0002","5","","Low","Draft"
"1.2","Login: Todo cliente tiene un login del cual interesa guardar los siguientes datos: usuario y contraseña","REQ_0003","4","","Medium","Draft"
"2.","ALMACENAMIENTO DE DATOS SUSCRIPCIONES Y FACTURACION:","REQ_0015","Undefined","0","Undefined","Draft"
"2.1","Suscripcion: fecha de inicio de la suscripción, fecha de finalización de la suscripción","REQ_0004","5","","High","Draft"
"2.2","Plan: precio, descripcion, periodo y estado","REQ_0006","3","","High","Draft"
"2.3","Factura: fecha de emisión de la factura, monto, fecha del pago y un token proporcionado por el proveedor de pago","REQ_0005","5","","High","Draft"
"3.","ALMACENAMIENTO DE INFORMACION SOBRE CANCIONES","REQ_0010","Undefined","0","Undefined","Draft"
"3.1","Canción: Se debe almacenar los datos de las canciones como ser el nombre, la letra y la duración de la canción","REQ_0009","Undefined","","Medium","Draft"
"3.2","Álbum: Se debe guardar informacion sobre los albumes como ser el nombre del álbum y el año de lanzamiento","REQ_0011","Undefined","","Low","Draft"
"3.3","Productora: Se debe guardar el nombre de la productora","REQ_0012","Undefined","","Low","Draft"
"3.4","Género: Se debe guardar informacion de los géneros como ser el nombre del género musical y una descripción","REQ_0013","Undefined","","Low","Draft"
"3.5","Formato: Se debe guardar informacion acerca de el tipo de formato de audio","REQ_0014","Undefined","","Medium","Draft"
"3.6","Playlist: Se almacena la siguiente información sobre las playlists: nombre, fecha de creación, fecha de eliminación, visibilidad","REQ_0022","Undefined","","Medium","Draft"
"3.7","Reproducción: Se guarda la fecha de reproducción","REQ_0023","Undefined","","High","Draft"
"3.8","Ranking: Se almacena la posición y la fecha de la posición en el ranking","REQ_0024","Undefined","","High","Draft"
"3.9","Evento_Premiación: Se alamacena los datos de la premiación como ser: año, premio y nombre del evento","REQ_0025","Undefined","","Low","Draft"
"4.","ALMACENAMIENTO INFORMACION  SOBRE LOS ARTISTAS","REQ_0017","Undefined","0","Undefined","Draft"
"4.1","Artista: Se debe guardar la siguiente información del artista: nombre artístico, nombre real, fecha de nacimiento, país y estado de vigencia","REQ_0018","Undefined","","Low","Draft"
"4.2","Habilidad: Se deben guardar la siguiente informacion del artista como: nombre de la habilidad y descripcion de la habilidad","REQ_0019","Undefined","","Medium","Draft"
"4.3","Categoria: Se deben guardar la siguiente informacion del artista como: nombre de la categoría y descripción de la categoría","REQ_0020","Undefined","","Low","Draft"
"4.4","Grupo: Se debe almacenar el nombre del grupo","REQ_0021","Undefined","","Low","Draft"
